# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-20
#
# GRDC-No.:              2838100
# River:                 TAWI RIVER
# Station:               MUKESAR
# Country:               IN
# Latitude (DD):       32.6866476
# Longitude (DD):      74.4898171
# Catchment area (km²):      5700.0
# Altitude (m ASL):        394.0
# Next downstream station:      2337100
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1968 - 1979
# No. of years:          12
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 144
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1968-01-01;--:--;    148.000;   -999.000;   0
1968-02-01;--:--;    203.000;   -999.000;   0
1968-03-01;--:--;    306.000;   -999.000;   0
1968-04-01;--:--;    344.000;   -999.000;   0
1968-05-01;--:--;    316.000;   -999.000;   0
1968-06-01;--:--;    552.000;   -999.000;   0
1968-07-01;--:--;    611.000;   -999.000;   0
1968-08-01;--:--;    583.000;   -999.000;   0
1968-09-01;--:--;    203.000;   -999.000;   0
1968-10-01;--:--;     95.000;   -999.000;   0
1968-11-01;--:--;     65.000;   -999.000;   0
1968-12-01;--:--;     57.000;   -999.000;   0
1969-01-01;--:--;     70.000;   -999.000;   0
1969-02-01;--:--;    120.000;   -999.000;   0
1969-03-01;--:--;    208.000;   -999.000;   0
1969-04-01;--:--;    263.000;   -999.000;   0
1969-05-01;--:--;    396.000;   -999.000;   0
1969-06-01;--:--;    427.000;   -999.000;   0
1969-07-01;--:--;    587.000;   -999.000;   0
1969-08-01;--:--;    607.000;   -999.000;   0
1969-09-01;--:--;    234.000;   -999.000;   0
1969-10-01;--:--;    101.000;   -999.000;   0
1969-11-01;--:--;     61.000;   -999.000;   0
1969-12-01;--:--;     51.000;   -999.000;   0
1970-01-01;--:--;     55.000;   -999.000;   0
1970-02-01;--:--;     59.000;   -999.000;   0
1970-03-01;--:--;     98.000;   -999.000;   0
1970-04-01;--:--;    143.000;   -999.000;   0
1970-05-01;--:--;    163.000;   -999.000;   0
1970-06-01;--:--;    196.000;   -999.000;   0
1970-07-01;--:--;    315.000;   -999.000;   0
1970-08-01;--:--;    569.000;   -999.000;   0
1970-09-01;--:--;    504.000;   -999.000;   0
1970-10-01;--:--;    129.000;   -999.000;   0
1970-11-01;--:--;     72.000;   -999.000;   0
1970-12-01;--:--;     53.000;   -999.000;   0
1971-01-01;--:--;     46.000;   -999.000;   0
1971-02-01;--:--;     66.000;   -999.000;   0
1971-03-01;--:--;    103.000;   -999.000;   0
1971-04-01;--:--;    170.000;   -999.000;   0
1971-05-01;--:--;    175.000;   -999.000;   0
1971-06-01;--:--;    369.000;   -999.000;   0
1971-07-01;--:--;    492.000;   -999.000;   0
1971-08-01;--:--;   1016.000;   -999.000;   0
1971-09-01;--:--;    238.000;   -999.000;   0
1971-10-01;--:--;    100.000;   -999.000;   0
1971-11-01;--:--;     68.000;   -999.000;   0
1971-12-01;--:--;     52.000;   -999.000;   0
1972-01-01;--:--;     47.000;   -999.000;   0
1972-02-01;--:--;    108.000;   -999.000;   0
1972-03-01;--:--;    160.000;   -999.000;   0
1972-04-01;--:--;    199.000;   -999.000;   0
1972-05-01;--:--;    324.000;   -999.000;   0
1972-06-01;--:--;    356.000;   -999.000;   0
1972-07-01;--:--;    560.000;   -999.000;   0
1972-08-01;--:--;    436.000;   -999.000;   0
1972-09-01;--:--;    235.000;   -999.000;   0
1972-10-01;--:--;     92.000;   -999.000;   0
1972-11-01;--:--;     68.000;   -999.000;   0
1972-12-01;--:--;     61.000;   -999.000;   0
