# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2026-09-20
#
# GRDC-No.:              2839100
# River:                 BEAS RIVER
# Station:               MANDI PLAIN
# Country:               IN
# Latitude (DD):       31.19375
# Longitude (DD):      75.02292
# Catchment area (km²):      18274.0
# Altitude (m ASL):        207.0
# Next downstream station:      2337100
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1968 - 1979
# No. of years:          12
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 144
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1968-01-01;--:--;    249.000;   -999.000;   0
1968-02-01;--:--;    297.000;   -999.000;   0
1968-03-01;--:--;    420.000;   -999.000;   0
1968-04-01;--:--;    386.000;   -999.000;   0
1968-05-01;--:--;    339.000;   -999.000;   0
1968-06-01;--:--;    575.000;   -999.000;   0
1968-07-01;--:--;   1014.000;   -999.000;   0
1968-08-01;--:--;   1246.000;   -999.000;   0
1968-09-01;--:--;    453.000;   -999.000;   0
1968-10-01;--:--;    212.000;   -999.000;   0
1968-11-01;--:--;    129.000;   -999.000;   0
1968-12-01;--:--;    121.000;   -999.000;   0
1969-01-01;--:--;    125.000;   -999.000;   0
1969-02-01;--:--;    147.000;   -999.000;   0
1969-03-01;--:--;    193.000;   -999.000;   0
1969-04-01;--:--;    285.000;   -999.000;   0
1969-05-01;--:--;    385.000;   -999.000;   0
1969-06-01;--:--;    486.000;   -999.000;   0
1969-07-01;--:--;    995.000;   -999.000;   0
1969-08-01;--:--;   2157.000;   -999.000;   0
1969-09-01;--:--;    629.000;   -999.000;   0
1969-10-01;--:--;    251.000;   -999.000;   0
1969-11-01;--:--;    151.000;   -999.000;   0
1969-12-01;--:--;    126.000;   -999.000;   0
1970-01-01;--:--;    111.000;   -999.000;   0
1970-02-01;--:--;    116.000;   -999.000;   0
1970-03-01;--:--;    114.000;   -999.000;   0
1970-04-01;--:--;    161.000;   -999.000;   0
1970-05-01;--:--;    220.000;   -999.000;   0
1970-06-01;--:--;    331.000;   -999.000;   0
1970-07-01;--:--;    857.000;   -999.000;   0
1970-08-01;--:--;   1529.000;   -999.000;   0
